Molecular Weight,Smiles,Ligand Efficiency BEI,Ligand Efficiency BEI/MW
383.45,CC(C)(O)c1ccc(-c2cnc3c(n2)N([C@H]2CC[C@H](O)CC2)C(=O)CN3)cn1,19.35,0.050462903
297.32,Oc1ccc(-c2nc(N3CCOCC3)c3nc[nH]c3n2)cc1,21.35,0.071808153
397.48,CO[C@H]1CC[C@H](N2C(=O)CNc3ncc(-c4ccc(C(C)(C)O)nc4)nc32)CC1,20.13,0.050644058
383.45,CC(C)(O)c1ccc(-c2cnc3c(n2)N(CC2CCOCC2)CC(=O)N3)cn1,18.19,0.047437736
233.27,Nc1ccc(C#Cc2n[nH]c3ccccc23)cc1,22.74,0.097483603
495.97,O=C(Nc1ccc(Cl)cc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,16.48,0.033227816
465.52,COC(=O)N1CCN(Cc2cnc(Nc3ccc(OC)nc3)c(-c3nc(C)nc(N)n3)c2)CC1,11.67,0.02506874
407.48,COc1ccc(Nc2ncc(N3CCN(C)CC3)cc2-c2nc(C)nc(N)n2)cn1,14.37,0.035265535
309.33,COc1ccc(Nc2ncccc2-c2nc(C)nc(N)n2)cn1,16.51,0.05337342
424.44,COc1ncc(Nc2nc3ccc(C(C)(C)O)cn3c2-c2nc(C)nc(N)n2)cc1F,15.75,0.037107718
413.48,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)[C@@](C)(CO)OC3)cc1,16.04,0.038792686
307.32,Cc1nc(N)nc(-n2c(Nc3cn[nH]c3)nc3ccccc32)n1,17.17,0.055870103
345.37,C#CCNc1nc(C)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,16.95,0.049077801
321.35,Cc1nc(N)nc(-n2c(Nc3ccnn3C)nc3ccccc32)n1,19.5,0.0606815
366.42,Cc1ccc(-n2c(=O)n(C)c3cnc4ccc(-c5ccncc5)cc4c32)cc1,17.27,0.047131707
